DISTRICT,GesamtFläche,Bauland,Wohnen,Infrastruktur,Grünland,Gewässer,Verkehr,SackerlSpender,REF_YEAR,POP_VALUE,POP_DENSITY,DOG_VALUE,DISTRICT_NUM,Mietpreis,Sackerlspender_pro_Hund,Prozent_Grünfläche,Hunde_pro_Ha,Hunde_pro_Einwohner,SCORE
Wien,41487.102493882,14916.4156244784,10586.7222223668,1839.23924866506,18660.0617167734,1909.04192606614,6001.5655892721,3921,2020,1911191,4606.71,55649,0,378.52,0.0704594871426261,0.44977982541743317,1.3413566302492785,0.02911744561375603,0.1637464119663087
1. Innere Stadt,286.87738207,141.639214651723,65.8011717017,29.6562937705,27.2704686772771,3.08060566,114.887093081,65,2020,16047,5593.68,483,1,21.23,0.13457556935817805,0.09505966793374782,1.6836461505429687,0.030099083940923536,0.5323297570653509
2. Leopoldstadt,1924.19958207,434.495748754,282.0368975,113.428845519,674.755879735,403.528064828,411.419888753,198,2020,105848,5500.88,2510,2,19.83,0.07888446215139443,0.35066834335818564,1.3044384914062876,0.02371324918751417,0.08795119956707614
3. Landstraße,739.77422905,412.315151094449,219.360214061,81.2606235361,110.40955603155,0.471913885001,216.577608039,116,2020,91680,12392.97,2174,3,16.95,0.05335786568537258,0.14924763758442255,2.9387344336011783,0.023712914485165795,-0.8695675035298887
4. Wieden,177.52079701,114.369147480769,95.5495536359,12.1106579186,17.7248561808313,0,45.4267933484,64,2020,33212,18708.79,654,4,15.68,0.09785932721712538,0.09984664602329851,3.6840753929420407,0.019691677706852945,-0.14806646512159305
5. Margareten,201.1638691,129.341439736865,113.609656322,4.3659272048,8.78920814083498,0,63.0332212223,46,2020,55123,27402.04,931,5,15.03,0.04940923737916219,0.043691783122672995,4.628067675200626,0.01688950165992417,-1.1937265628996219
6. Mariahilf,145.50436502,95.9895562890567,76.3209342327,7.92190677058,3.0038055244233,2.69303725582,43.8179659507,60,2020,31651,21752.61,639,6,17.22,0.09389671361502347,0.02064409218246077,4.391620828091086,0.020188935578654702,-0.4101313751885308
7. Neubau,160.82481161,116.76592695703,91.7923362555,14.8901989497,3.66946943507035,0,40.3894152179,80,2020,31961,19873.18,580,7,15.92,0.13793103448275862,0.02281656293165018,3.606408701453973,0.018147116798598293,0.42460287364278704
8. Josefstadt,108.9945694,76.2732850335776,66.382051831,4.63399853448,2.03951897492244,0,30.6817653915,49,2020,25021,22956.19,481,8,16.22,0.10187110187110188,0.018712115531532524,4.413063904448069,0.019223851964349947,-0.2644677114135924
9. Alsergrund,296.73847495,179.685464576798,104.13284162,66.1046454717,22.1696452469017,0,94.8833651263,99,2020,41884,14114.79,891,9,16.89,0.1111111111111111,0.0747110574408568,3.0026439953569626,0.021273039824276575,0.042117005982005074
10. Favoriten,3182.85524559,1109.2830316644,751.247824744,187.822948336,1439.9876841797,42.8152654399,590.769264306,267,2020,207193,6509.66,5118,10,16.06,0.05216881594372802,0.45242009864409405,1.6079901865129547,0.024701606714512554,-0.17459701836665692
11. Simmering,2325.63357097,849.5177454142,447.410193071,153.400243541,923.8743028482,46.3281748776,505.91334783,212,2020,104434,4490.56,3457,11,17.04,0.06132484813422042,0.3972570375576668,1.4864766501276971,0.03310224639485225,-0.13262782627974085
12. Meidling,810.3252271,488.09584127125,372.781664997,50.1581541881,101.41011661975,0,220.819269209,212,2020,97078,11980.13,2331,12,15.5,0.09094809094809095,0.12514742627806064,2.876622770763544,0.02401161952244587,-0.21840499618277323
13. Hietzing,3771.47611255,883.0257238185,726.95615008,133.813584514,2651.1942522923,15.1580240392,222.0981124,212,2020,54040,1432.86,1999,13,15.27,0.10605302651325663,0.7029593117321254,0.5300311974264158,0.036991117690599554,1.4333958786155914
14. Penzing,3376.32606452,996.4974115462,813.289934225,118.951044895,2022.1747796885,45.4504118453,312.20346144,262,2020,93634,2773.25,2867,14,15.98,0.09138472270666202,0.5989275742465903,0.8491478444951647,0.030619219514279,0.9108876631276821
15. Rudolfsheim-Fünfhaus,391.8463303,218.650531600467,191.509673612,16.4746882329,33.6097915315925,3.77018238994,135.815824778,103,2020,76813,19602.84,1321,15,14.69,0.07797123391370174,0.08577288833063879,3.3712195262582507,0.0171976097795946,-0.5560538844240317
16. Ottakring,867.30481524,450.22084125145,385.42609847,46.8927159675,261.40002770155,0,155.683946287,194,2020,103117,11889.36,2020,16,15.27,0.09603960396039604,0.3013934929315659,2.3290542892247483,0.019589398450304024,0.29455405888970904
17. Hernals,1139.11993755,407.35047335062,382.207335199,13.6310323758,602.2636981335,3.72632005488,125.779446011,170,2020,57027,5006.23,1372,17,14.25,0.1239067055393586,0.5287096452976134,1.2044385799715476,0.02405877917477686,1.3574414391903251
18. Währing,634.72032735,356.26889267644,337.095569095,17.6443314905,171.22641259456,0,107.225022079,97,2020,51497,8113.34,1354,18,16.15,0.07163958641063516,0.26976670703054645,2.1332229986284523,0.026292793754976018,-0.23997096600354847
19. Döbling,2494.38806973,905.9398564154,771.52280354,54.1842691749,1190.2167673476,110.561779469,287.669666498,213,2020,73901,2962.69,2656,19,16.47,0.08019578313253012,0.4771578174988756,1.0647902113673489,0.035939973748663756,0.41195764810647595
20. Brigittenau,571.047418,205.13119976628,155.731027124,15.6005045909,50.90502371472,118.42818463,196.583009889,115,2020,86368,15124.49,1780,20,16.95,0.06460674157303371,0.08914325169879325,3.1170791494586534,0.020609484994442387,-0.7998619957762512
21. Floridsdorf,4444.32329003,1873.32018091,1246.4913656,261.961370594,1780.880582781,150.731573779,639.39095256,368,2020,167968,3779.38,7106,21,15.93,0.05178722206585984,0.40070905435166454,1.5988935854286228,0.042305677271861304,-0.30414568786968826
