FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66345019,66345019,POINT (16.31906732553789 48.22460327552676),17,Leopold-Kunschak-Platz,(Beim Friedhof Hernals),1123,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345020,66345020,POINT (16.3775665634554 48.20953330206587),1,Schönlaterngasse,7A,3401,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345021,66345021,POINT (16.454822738182482 48.207970349474294),22,Kanalstraße,ggü. 44,3088,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345022,66345022,POINT (16.44423917673839 48.22740204959893),22,Lange Allee,81,3776,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345023,66345023,POINT (16.434136230872536 48.287984889881336),21,Grellgasse,10,3784,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345024,66345024,POINT (16.341841643877252 48.178978191572924),12,Rothkirchgasse,ggü. 2,0129,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345025,66345025,POINT (16.383800505219547 48.27954925294753),21,Autokaderstraße,ggü. 38,2076,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345026,66345026,POINT (16.385967159625334 48.26477695536094),21,Anton-Störck-Gasse,48,3054,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345027,66345027,POINT (16.390346134541993 48.26787638058926),21,Anton-Anderer-Platz,ggü. 1,2080,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345028,66345028,POINT (16.38688328759888 48.26824762352702),21,Jeneweingasse,24,0177,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345029,66345029,POINT (16.374662616259574 48.27759531857804),21,Wolsteingasse,30,2816,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
